[00:00 - 00:07] 这里是万物生长FM
[21:36 - 21:39] 就是我们的这个股市表现的增长
[21:39 - 21:44] 多数都是靠着ADC双抗和BD驱动的
[21:44 - 21:46] 那其实也是这中间的原因
[21:46 - 21:48] 所以我说这几年跨国要起来
[21:48 - 21:49] 中国买买买
[21:49 - 21:50] 它其实是一种必然
[21:50 - 21:51] 去年呢
[21:51 - 21:54] 还有媒体来讨论说中国创新要起BD
[21:54 - 21:56] 它是不是可持续啊
[21:56 - 21:59] 它那个2025年买的差不多的
[21:59 - 22:00] 2026年是不是没得买了
[22:00 - 22:01] 我们来看一看
[22:01 - 22:02] 今年第一季度
[22:02 - 22:05] 中国创新要起BD总金额
[22:05 - 22:07] 突破614亿美元
[22:07 - 22:09] 再创新高啊
[22:09 - 22:10] 这个数量呢
[22:10 - 22:14] 占全球同期BD交易总额的70%
[22:14 - 22:15] 也就是说
[22:15 - 22:16] 今年第一季度
[22:16 - 22:19] 中国创新要起BD出去的
[22:19 - 22:20] 这个总金额
[22:20 - 22:21] 占了全球的70%
[22:21 - 22:23] 我觉得这个数据
[22:23 - 22:35] 也算打破质疑吧这儿值得一提的是我也觉得挺值得聊一聊的事是在中美博弈的这个大背景下欧美药企的表现形成了比较大的反差欧洲的药企
[22:35 - 22:37] 似乎在选择全面拥抱
[22:37 - 22:39] 跟中国的创新合作
[22:39 - 22:40] 比如说
[22:40 - 22:43] 英国的药品和医疗产品监管局
[22:43 - 22:46] 他们几乎跟美国众议院
[22:46 - 22:48] 临床数据提案同期
[22:48 - 22:49] 他们就官宣
[22:49 - 22:53] 将接纳更多中国临床实验的数据
[22:53 - 22:55] 将积极评估并且扩大
[22:55 - 22:58] 对中国临床实验数据的接纳范围
[22:58 - 23:02] 以此来加速新药在英国的审评审批
[23:02 - 23:05] 你看这个跟美国绝对是反差
[23:05 - 23:08] 当然他这也是一个提议或者说建议
[23:08 - 23:10] 我们过去也讲过像阿斯利康
[23:10 - 23:11] 诺华
[23:11 - 23:14] 罗氏等等这些欧洲的制药巨头
[23:14 - 23:15] 医药巨头们
[23:15 - 23:20] 他们好像都在持续加码在华的研发投入
[23:20 - 23:21] 无论是建研发中心
[23:21 - 23:24] 还是说要投入多少钱多少钱
[23:24 - 23:26] 压住中国市场
[23:26 - 23:29] 感觉他们绝对是在看好中国
[23:29 - 23:31] 但是我们看美国的要求
[23:31 - 23:34] 不少都在选择低调的
[23:34 - 23:36] 感觉有点那种避险的感觉
[23:36 - 23:37] 我觉得这儿
[23:37 - 23:39] 有可能跟特朗普这个人有关系
[23:39 - 23:41] 你毕竟作为美国的企业
[23:41 - 23:43] 特别是美国的这些头部的这几个要求
[23:43 - 23:45] 你也要哄着特朗普
[23:45 - 23:47] 你不能对着这个干
[23:47 - 23:50] 毕竟中美博弈的这个大背景下
[23:50 - 23:53] 包括美国内部的这个政治氛围下
[23:53 - 23:55] 美国的这些头部要求
[23:55 - 23:57] 好像在迎合某种政治正确
[23:57 - 23:59] 也在规避一些监管压力
[23:59 - 24:01] 对华的BD合作上
[24:01 - 24:03] 好像有趋于放缓的趋势
[24:03 - 24:06] 不过我觉得卖方市场的意思是什么呢
[24:06 - 24:08] 就是你需要来这儿买
[24:08 - 24:11] 不是说我求着去你那儿卖
[24:11 - 24:12] 而是你需要来这儿买
[24:12 - 24:14] 你看辉瑞也好
[24:14 - 24:15] 理来也好
[24:15 - 24:16] 包括其他的这些企业
[24:16 - 24:19] 他们也受自身的管线缺口
[24:19 - 24:21] 包括对于成本啊
[24:21 - 24:22] 效率等等这些压力
[24:22 - 24:24] 美国药企可能
[24:24 - 24:26] 它只是做做样子
[24:26 - 24:28] 以往比较高调的合作
[24:28 - 24:29] 现在变成低调的布局
[24:29 - 24:32] 我觉得可能更真实的情况是这样的
[24:32 - 24:34] 我们聊完创新药
[24:34 - 24:36] 我觉得可能这一轮
[24:36 - 24:37] 或者说这个提案
[24:37 - 24:39] 真正影响的比较大的
[24:39 - 24:42] 是中国的这些CXO行业
[24:42 - 24:45] 也就是制药合同外包组织
[24:45 - 24:48] 它包括了CIO CDMO等等这些
[24:48 - 24:51] 就即便这个禁令短期内不生效
[24:51 - 24:54] 对于他们来说也是影响非常直接的
[24:54 - 25:00] 因为这些美国的药企可能会给中国的这些CXO公司下订单
[25:00 - 25:02] 他可能会更谨慎一点
[25:02 - 25:06] 对于中小型的临床CIO这些公司来说
[25:06 - 25:08] 他们的日子可能会更难过
[25:08 - 25:11] 不过我们也那个分开来看
[25:11 - 25:14] 我们就看那个摩根史丹利和花旗
[25:14 - 25:16] 他们的一些报告就说
[25:16 - 25:20] 这个提案可能真正变成法律的概率并不高
[25:20 - 25:21] 他们是这样说的
[25:21 - 25:24] 但是我看还有一些分析说
[25:24 - 25:26] 这个变成法律的概率是非常高的
[25:26 - 25:29] 因为毕竟他是共和党议员的一个提案
[25:29 - 25:31] 他顺着特朗普的意思走
[25:31 - 25:33] 因为我去年好像做过一期节目
[25:33 - 25:35] 说这个特朗普要在这个关税上
[25:35 - 25:37] 再做一些医药的关税
[25:37 - 25:40] 再做一些提高啊
[25:40 - 25:43] 包括可能会延展到这个BD这个事上
[25:43 - 25:47] 我自己感觉它落地的概率还是比较大的
[25:47 - 25:50] 我们看2024年那个生物安全法案
[25:50 - 25:51] 它最早来势汹汹的
[25:51 - 25:53] 最后落地了
[25:53 - 25:54] 但是好像温和了很多
[25:54 - 25:56] 它加了一些缓冲期
[25:56 - 25:57] 加了一些豁免条款
[25:57 - 26:02] 我感觉这个法案可能会跟生物安全法案
[26:02 - 26:03] 那个事会比较相似
[26:03 - 26:05] 它肯定还会落地
[26:05 - 26:07] 但是落地到最后是什么样
[26:07 - 26:08] 我们有待观察
[26:08 - 26:20] 整个市场可能已经被吓了几轮了现在好像没有那么一惊一乍了因为我录音的时候是5月4号5月4号A股是休市的但是港股是开始的我们看了看
[26:20 - 26:23] 创新药企在港股涨得还是不错的
[26:23 - 26:25] 一些CIO有所下跌
[26:25 - 26:27] 但是当然可能
[26:27 - 26:30] 我看今天小米好像涨了10%
[26:30 - 26:33] 可能今天港股整个情绪是比较高涨的
[26:33 - 26:35] 可能今天也不能代表
[26:35 - 26:36] 接下来一段时间
[26:36 - 26:37] 但是我的意思是说
[26:37 - 26:39] 整个市场被吓得
[26:39 - 26:41] 这几轮已经有点那种
[26:41 - 26:46] 不太在意这些政治上的这些角力了
[26:46 - 26:49] 对于头部的CXO公司来说
[26:49 - 26:51] 我的观点跟创新要是一样的
[26:51 - 26:53] 这不是一个心理空
[26:53 - 26:54] 过去三年
[26:54 - 26:56] 他们受生物安全法案的影响
[26:56 - 26:57] 绝对会比这个大的多
[26:57 - 27:00] 他们也反反复复的被
[27:00 - 27:03] 这个地缘的炮火摩擦摩擦再摩擦
[27:03 - 27:04] 他们不但没倒
[27:04 - 27:06] 反而非常抗造啊
[27:06 - 27:07] 比如说燕民康德
[27:07 - 27:10] 他在美国客户身上赚的钱
[27:10 - 27:12] 从有这个生活安全法案被提出以来
[27:12 - 27:14] 他不降反升
[27:14 - 27:16] 那康龙化成他的海外收入占比
[27:16 - 27:18] 甚至达到了85%
[27:18 - 27:19] 他们钱是怎么赚的
[27:19 - 27:20] 我觉得很简单
[27:20 - 27:22] 他们的逻辑也非常简单
[27:22 - 27:26] 就是说过去我是在中国接全球的单
[27:26 - 27:29] 现在变成在全球做本地的生意
[27:29 - 27:31] 他们就是去海外建厂呗
[27:31 - 27:33] 去海外投入吗
[27:33 - 27:34] 比如说燕民康德
[27:34 - 27:36] 他去美国去瑞士去新加坡
[27:36 - 27:38] 来做海外的基地
[27:38 - 27:39] 康伦化城
[27:39 - 27:43] 来建设中美英一战式的临床平台
[27:43 - 27:45] 在美国自建早期的临床中心
[27:45 - 27:48] 直接承接FDA的标准
[27:48 - 27:50] 也就是把自己的身子
[27:50 - 27:52] 把自己嵌入到全球客户的
[27:52 - 27:53] 本地供应链里边
[27:53 - 27:55] 那这个事肯定会比
[27:55 - 27:57] 政治的游说更管用
[27:57 - 27:58] 所以我说
[27:58 - 28:01] 活过来的这些头部的CXO公司
[28:01 - 28:03] 可能会在这一轮中
[28:03 - 28:04] 就像前几年的
[28:04 - 28:05] 食物安全法案一样
[28:05 - 28:07] 它反复摩擦之后
[28:07 - 28:11] 反而它们就是真正立于不倒之地
[28:11 - 28:12] 就是它们真正成为头部了
[28:12 - 28:15] 你只要在全球的这个药企里边
[28:15 - 28:17] 它是高效的
[28:17 - 28:19] 效率高成本低
[28:19 - 28:20] 那它们的需求就不会变
[28:20 - 28:22] 因为这个提案
[28:22 - 28:23] 很多人还会问说
[28:23 - 28:27] 那会不会有一些我们的CXO的订单
[28:27 - 28:29] 包括一些创新药的订单
[28:29 - 28:32] 可能会被转接到印度等等
[28:32 - 28:34] 或者一些新兴市场
[28:34 - 28:36] 我的观点是挺难的
[28:36 - 28:37] 我们就拿印度来说
[28:37 - 28:38] 在CXO领域
[28:38 - 28:41] 印度虽然有一定的成本优势
[28:41 - 28:43] 但是一些高附加值的环节
[28:43 - 28:46] 它还是比较依赖中国的供应链的
[28:46 - 28:48] 它的高端产能跟质量体系
[28:48 - 28:52] 没有能达到承接全球顶级订单的水平
[28:52 - 28:54] 或者说它不可能接那么多
[28:54 - 28:56] 在创新药层面
[28:56 - 28:58] 他们这个代差更为悬殊
[28:58 - 28:59] 印度我们都知道
[28:59 - 29:00] 它是纺织药大国
[29:00 - 29:03] 他们是比较强来做逆向工程的
[29:03 - 29:05] 但是对于ADC啊
[29:05 - 29:06] 对于双抗啊
[29:06 - 29:07] 这些前沿赛道
[29:07 - 29:10] 他们比较缺乏从把点发现
[29:10 - 29:12] 到临床转化的整个
[29:12 - 29:14] 这个全链条的这个孵化能力
[29:14 - 29:16] 我们过去看吧
[29:16 - 29:17] 说这个跨国要起
[29:17 - 29:20] 2000亿美金用脚投票的
[29:20 - 29:21] 这个结果已经证明了
[29:21 - 29:23] 中国拥有的是
[29:23 - 29:25] 从源头创新到外包落地
[29:25 - 29:27] 整个这个完整的这个生态
[29:27 - 29:30] 这个生态是我们的壁垒
[29:30 - 29:31] 总归我觉得说到底
[29:31 - 29:33] 美国众议院的这份
[29:33 - 29:35] IND的数据禁令的提案
[29:35 - 29:38] 更多的是政治层面的
[29:38 - 29:39] 舆论表态
[29:39 - 29:40] 你从他那几个国家就能看出来
[29:40 - 29:42] 他绝对不是说
[29:42 - 29:44] 他是要颠覆这个行业格局的
[29:44 - 29:46] 一个颠覆性的政策
[29:46 - 29:48] 我反复说的这三年的2000亿美元的
[29:48 - 29:51] 中国创新要BD的这个交易总额
[29:51 - 29:53] 包括头部的这些管线
[29:53 - 29:54] 头部的这些创新要起
[29:54 - 29:56] 都开始布局
[29:56 - 29:57] 全球多中心的临床实验
[29:57 - 30:00] 还是说欧美
[30:00 - 30:01] 对于这个事的态度的分化
[30:01 - 30:03] 当然不是这个事啊
[30:03 - 30:04] 就是我指的是
[30:04 - 30:06] 对于中国市场的这个态度的分化
[30:06 - 30:07] 还是说
[30:07 - 30:09] 中国的这些CXO公司
[30:09 - 30:12] 它多年来深耕全球产业链的
[30:12 - 30:13] 这个能力
[30:13 - 30:14] 包括它过去几年
[30:14 - 30:17] 反复地被生物安全法案的这个摩擦
[30:17 - 30:19] 好像都在说明这个事
[30:19 - 30:21] 它不是一个新的利空
[30:21 - 30:24] 我好像在一直唱多中国创新啊
[30:24 - 30:25] 只是我想说的是
[30:25 - 30:28] 大家应该真的看清楚
[30:28 - 30:29] 这个事的本质
[30:29 - 30:31] 不要被一个标题所迷惑了
[30:31 - 30:34] 不要被说这个FDA又要来
[30:34 - 30:36] 那个打击中国创新药
[30:36 - 30:37] 它当然是打击
[30:37 - 30:39] 这个事我觉得没错
[30:39 - 30:40] 我们群里有个朋友就说
[30:40 - 30:42] 这个事你说到底
[30:42 - 30:43] 它总归也是打击
[30:43 - 30:44] 我同意
[30:44 - 30:45] 它是个打击
[30:45 - 30:47] 但是这个打击到底有多大
[30:47 - 30:48] 这个打击
[30:48 - 30:50] 它是不是一个新的打击
[30:50 - 30:51] 是不是一个new shock
[30:51 - 30:53] 我觉得它不是
[30:53 - 30:53] 那好呀
[30:53 - 30:56] 我们发布的这一天
[30:56 - 30:58] 应该还是在假期之内
[30:58 - 30:59] 假期的最后一天
[30:59 - 31:02] 我再次祝大家节日快乐
[31:02 - 31:05] 因为今天我们发布的这一天
[31:05 - 31:07] A股应该还是继续休市的
[31:07 - 31:10] 我们等到上班的第一天
[31:10 - 31:11] 来看一看
[31:11 - 31:13] 我的这个验证是不是准确
[31:13 - 31:15] 当然如果市场上有情绪
[31:15 - 31:17] 我觉得大家也不必太担心
[31:17 - 31:19] 它的核心
[31:19 - 31:22] 我觉得不出我们讲的
[31:22 - 31:23] 这个框架之外
[31:23 - 31:24] 好了我不啰嗦了
[31:24 - 31:25] 我们下期见
[31:25 - 31:26] 拜拜
[31:28 - 31:31] 优优独播剧场——YoYo Television Series Exclusive
